NtsbNo,ProbableCause,Findings,Event.Id,narratives.narr_cause,safetyrecs2026-02-28_15-34.Recommendation
DFW08IA087,The flight crew's improper landing technique for an inoperative anti-skid system resulting in locked brakes and four blown main landing gear tires.,"Personnel issues - Task performance - Use of equip/info - Use of equip/system - Flight crew, Aircraft - Aircraft systems - Landing gear system - Anti-skid section - Inoperative",20080404X00426,The flight crew's improper landing technique for an inoperative anti-skid system resulting in locked brakes and four blown main landing gear tires.,
ANC08IA033,The disengagement of the rudder control cable and loose rudder cable retaining pins. A factor contributing to the accident was a wind gust.,"Aircraft - Aircraft systems - Flight control system - Rudder control system - Failure, Aircraft - Fluids/misc hardware - Misc hardware - Fasteners - Not specified, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on equipment",20080411X00456,The disengagement of the rudder control cable and loose rudder cable retaining pins. A factor contributing to the accident was a wind gust.,
NYC08CA115,"An unexpected encounter with turbulence, while on approach for landing.",Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Not specified,20080413X00464,"An unexpected encounter with turbulence, while on approach for landing.",
CHI08IA119,The flying pilot's incorrect use of the thrust lever leading to the dual engine shutdown during taxi.  Contributing to the incident was the flying pilot's lack of total experience in the make and model of airplane.,"Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Pilot, Aircraft - Aircraft power plant - Engine controls - Power lever - Incorrect use/operation",20080506X00598,The flying pilot's incorrect use of the thrust lever leading to the dual engine shutdown during taxi.  Contributing to the incident was the flying pilot's lack of total experience in the make and model of airplane.,
WPR09IA033,The tug driver's failure to maintain situational awareness during the push back operation.,"Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Ground crew, Personnel issues - Psychological - Perception/orientation/illusion - Situational awareness - Ground crew",20081110X15316,The tug driver's failure to maintain situational awareness during the push back operation.,
DCA09FA004,The failure of the flightcrew to arrest an excessive sink rate during the flare for landing.,Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew,20081027X75039,The failure of the flightcrew to arrest an excessive sink rate during the flare for landing.,
OPS09IA001,The tower local controller's failure to provide adequate separation between EGF4075 and SKW5961 that landed on intersecting runways.,"Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - Pilot, Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - ATC personnel, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel, Personnel issues - Action/decision - Action - Incorrect action sequence - ATC personnel, Personnel issues - Action/decision - Action - Incorrect action selection - ATC personnel",20081017X61856,The tower local controller's failure to provide adequate separation between EGF4075 and SKW5961 that landed on intersecting runways.,
DEN08LA151,The ground crew's failure to ensure airplane clearance from the building while parking the airplane. Contributing to the accident was the flight crew's unprofessional behavior and the lack of marshaling procedures for the ground crew.,"Personnel issues - Task performance - (general) - (general) - Ground crew, Organizational issues - Management - Policy/procedure - Availability of policy/proc - Operator, Personnel issues - Task performance - Communication (personnel) - CRM/MRM techniques - Flight crew",20080915X01465,The ground crew's failure to ensure airplane clearance from the building while parking the airplane. Contributing to the accident was the flight crew's unprofessional behavior and the lack of marshaling procedures for the ground crew.,
OPS08IA014,The San Juan CERAP controllers failure to ensure the two aircraft were properly separated using non-radar separation standards.,"Personnel issues - Task performance - Use of equip/info - Use of automation - ATC personnel, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel, Personnel issues - Task performance - (general) - (general) - ATC personnel",20080829X01354,The San Juan CERAP controllers failure to ensure the two aircraft were properly separated using non-radar separation standards.,
NYC08IA290,"The combination of fan blade edge contour, variable blade trim, and the high altitude, which resulted in an engine surge.","Aircraft - Aircraft power plant - Power plant - (general) - Malfunction, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Effect on operation",20080912X01438,"The combination of fan blade edge contour, variable blade trim, and the high altitude, which resulted in an engine surge.",
DFW08CA215,The flying pilot's excessive angle of attack during the landing flare resulting in abnormal runway contact.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Incorrect use/operation,20081003X17330,The flying pilot's excessive angle of attack during the landing flare resulting in abnormal runway contact.,
ANC08IA092,"The failure of one of the stage 1 gas generator rotor blades due to high-cycle fatigue, resulting in a contained engine failure during the takeoff roll.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Fatigue/wear/corrosion, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Failure",20080812X01218,"The failure of one of the stage 1 gas generator rotor blades due to high-cycle fatigue, resulting in a contained engine failure during the takeoff roll.",
OPS08IA011,The LC-10 controller's failure to ensure the appropriate separation between two airplanes operating on runways where flight paths intersect.,Personnel issues - Action/decision - Info processing/decision - Identification/recognition - ATC personnel,20080728X01118,The LC-10 controller's failure to ensure the appropriate separation between two airplanes operating on runways where flight paths intersect.,
CHI08IA182,The inadvertent partial inflation of the evacuation slide within the tailcone during takeoff and subsequent binding of the elevator control cables. The partial inflation resulted from the tailcone evacuation slide cover failing to be secured to the floor fittings on the walkway for undetermined reasons.,"Aircraft - Aircraft systems - Equipment/furnishings - Escape slide - Inadequate inspection, Aircraft - Aircraft systems - Equipment/furnishings - Escape slide - Unintentional use/operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Malfunction",20080808X01189,The inadvertent partial inflation of the evacuation slide within the tailcone during takeoff and subsequent binding of the elevator control cables. The partial inflation resulted from the tailcone evacuation slide cover failing to be secured to the floor fittings on the walkway for undetermined reasons.,
OPS08IA007,The flight crew's diverted attention during taxi. Contributing to the incident was the air traffic control clearance was not followed.,"Personnel issues - Task performance - Communication (personnel) - Following instructions - Flight crew, Personnel issues - Psychological - Attention/monitoring - Attention - Flight crew",20080709X00995,The flight crew's diverted attention during taxi. Contributing to the incident was the air traffic control clearance was not followed.,
NYC08LA234,"The tugdriver and wing walker's lack of communication and the tugdriver's failure to properly monitor the wing walker. Contributing to the accident was the lightning in the vicinity of the airport, which resulted in the ground crewmembers not wearing headsets.","Personnel issues - Task performance - Communication (personnel) - Lack of communication - Ground crew, Personnel issues - Psychological - Attention/monitoring - Monitoring other person - Ground crew, Environmental issues - Conditions/weather/phenomena - Convective weather - Lightning - Effect on operation",20080720X01081,"The tugdriver and wing walker's lack of communication and the tugdriver's failure to properly monitor the wing walker. Contributing to the accident was the lightning in the vicinity of the airport, which resulted in the ground crewmembers not wearing headsets.",
DCA08FA075,"The flight crew's failure to adequately monitor the airplane's airspeed during the holding pattern, leading to the onset of an aerodynamic stall and subsequent structural damage to the tail from buffet.",Personnel issues - Action/decision - Info processing/decision - Expectation/assumption - Pilot,20080703X00974,"The flight crew's failure to adequately monitor the airplane's airspeed during the holding pattern, leading to the onset of an aerodynamic stall and subsequent structural damage to the tail from buffet.",
DCA08FA064,The flight's inadvertent encounter with turbulence.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Ability to respond/compensate",20081003X16303,The flight's inadvertent encounter with turbulence.,
DCA08FA062,An inadvertent in-flight encounter with unforecasted clear air turbulence,Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Not specified,20080723X01111,An inadvertent in-flight encounter with unforecasted clear air turbulence,
ENG08IA022,"An engine fire in the No. 3 engine due to the failure of, and subsequent flammable fluid leak from, one of three fuel or hydraulic lines located in the engine's accessory raceway that ignited when the fluid came in contact with the hot engine cases.  Contributing to the incident were the lack of adequate inspection and test requirements and appropriate life limit or inspection interval requirements by the manufacturer.","Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Manufacturer, Organizational issues - Management - Resources - Availability of documents/info - Manufacturer, Aircraft - Aircraft systems - Fuel system - (general) - Not specified, Aircraft - Aircraft power plant - Eng oil sys (airframe furnish) - (general) - Not specified, Aircraft - Aircraft systems - Hydraulic power system - (general) - Not specified",20081003X63355,"An engine fire in the No. 3 engine due to the failure of, and subsequent flammable fluid leak from, one of three fuel or hydraulic lines located in the engine's accessory raceway that ignited when the fluid came in contact with the hot engine cases.  Contributing to the incident were the lack of adequate inspection and test requirements and appropriate life limit or inspection interval requirements by the manufacturer.",
NYC08CA156,"An unexpected encounter with turbulence, during the initial descent for landing.",Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Not specified,20080722X01094,"An unexpected encounter with turbulence, during the initial descent for landing.",
DCA09FA011,"The lack of vigilance on the part of the ramp agent driving the baggage tug. Contributing factors include the night conditions, and low visibility due to fog and rain.","Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Contributed to outcome, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Fog - Contributed to outcome, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Rain - Contributed to outcome, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Airport personnel",20081113X92722,"The lack of vigilance on the part of the ramp agent driving the baggage tug. Contributing factors include the night conditions, and low visibility due to fog and rain.",
ERA09IA056,"The mechanical overload of the nosewheel steering links for undetermined reasons, which resulted in nose landing gear rotation and its subsequent wedging within the wheel well structure.","Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Capability exceeded, Aircraft - Aircraft systems - Landing gear system - Nose/tail landing gear - Malfunction",20081116X33137,"The mechanical overload of the nosewheel steering links for undetermined reasons, which resulted in nose landing gear rotation and its subsequent wedging within the wheel well structure.",
DCA08CA041,Inadequate ground separation maintained by the pilot of the Embraer E170.,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot,20081124X34243,Inadequate ground separation maintained by the pilot of the Embraer E170.,
DCA09IA014,"An accumulation of ice in the fuel system, which formed from the water normally present in jet fuel during commonly encountered flight conditions, which accreted and released, restricting the fuel flow at the right engine fuel-oil heat exchanger inlet face. 

Contributing to the incident were certification requirements (with which the aircraft and engine fuel systems were in compliance), which did not account for the possibility of ice accumulating and subsequently releasing in the aircraft and engine fuel feed system upstream of the fuel-oil heat exchanger.","Aircraft - Aircraft power plant - Engine fuel and control - Fuel oil cooler - Capability exceeded, Organizational issues - Development - Selection/certification/testing - Equip certification/testing - FAA/Regulator, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid condition",20081201X44308,"An accumulation of ice in the fuel system, which formed from the water normally present in jet fuel during commonly encountered flight conditions, which accreted and released, restricting the fuel flow at the right engine fuel-oil heat exchanger inlet face. 

Contributing to the incident were certification requirements (with which the aircraft and engine fuel systems were in compliance), which did not account for the possibility of ice accumulating and subsequently releasing in the aircraft and engine fuel feed system upstream of the fuel-oil heat exchanger.",
DCA09IA018,The overheating and arcing of the DC Ground Service Relay and Block Diodes component for undetermined reasons.,Aircraft - Aircraft systems - Electrical power system - DC power distribution system - Malfunction,20081215X14936,The overheating and arcing of the DC Ground Service Relay and Block Diodes component for undetermined reasons.,
CEN09LA093,The collision between the tug and the airplane during towing as a result of sliding on the snow covered runway.,"Aircraft - Aircraft handling/service - Towing and taxiing - Towing - Not specified, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on operation",20081216X41655,The collision between the tug and the airplane during towing as a result of sliding on the snow covered runway.,
CEN09FA094,The failure of the left landing gear to extend due to improper maintenance when the landing gear door was replaced. Contributing to the incident was the manufacturer's inadequate maintenance manual instructions.,"Aircraft - Aircraft handling/service - Maintenance/inspections - Unscheduled maint checks - Incorrect service/maintenance, Aircraft - Aircraft structures - Doors - Landing gear doors - Incorrect service/maintenance, Aircraft - Aircraft structures - Doors - Landing gear doors - Related maintenance info, Personnel issues - Task performance - Maintenance - Installation - Maintenance personnel, Organizational issues - Development - Manufacture/production - Document/info production - Manufacturer",20081217X83220,The failure of the left landing gear to extend due to improper maintenance when the landing gear door was replaced. Contributing to the incident was the manufacturer's inadequate maintenance manual instructions.,
ENG08IA025,The Center Landing gear (CLG) strut failed due to intergranular (IG) cracking resulted from a contamination of the surface from the chemical used to clean that area prior to painting.,"Aircraft - Aircraft systems - Landing gear system - Main landing gear - Failure, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Fatigue/wear/corrosion, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect service/maintenance, Personnel issues - Task performance - Maintenance - Scheduled/routine maintenance - Maintenance personnel",20081219X16532,The Center Landing gear (CLG) strut failed due to intergranular (IG) cracking resulted from a contamination of the surface from the chemical used to clean that area prior to painting.,
ENG08IA042,The right nose landing gear axle's failure from intergranular and fatigue cracking due to an earlier bearing failure.,"Aircraft - Aircraft systems - Landing gear system - Nose/tail landing gear - Failure, Aircraft - Aircraft systems - Landing gear system - Nose/tail landing gear - Fatigue/wear/corrosion",20081219X65313,The right nose landing gear axle's failure from intergranular and fatigue cracking due to an earlier bearing failure.,
ANC09IA015,"The placement of operating equipment in close proximity to an external heating unit's intake by ground personnel, resulting in the contamination of the airplane's cabin with carbon monoxide.","Aircraft - Aircraft handling/service - (general) - (general) - Incorrect service/maintenance, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Ground crew",20081223X70710,"The placement of operating equipment in close proximity to an external heating unit's intake by ground personnel, resulting in the contamination of the airplane's cabin with carbon monoxide.",
WPR09IA065,The failure of the deicing crew to follow company procedures by not receiving confirmation from the flight crew before beginning to deice the airplane.,"Personnel issues - Task performance - Communication (personnel) - Lack of communication - Ground crew, Organizational issues - Management - Policy/procedure - (general) - Operator, Aircraft - Aircraft handling/service - (general) - (general) - Incorrect use/operation",20081224X25658,The failure of the deicing crew to follow company procedures by not receiving confirmation from the flight crew before beginning to deice the airplane.,
WPR09FA068,The failure of the tug operator and wing walker of this airplane to maintain clearance with the other aircraft during the pushback process in dark night. Also causal was the ramp controller's misinterpretation of the other airplane's gate location and her improper clearance for both airplanes to simultaneously push back from nearly opposing gates.,"Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Ground crew, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on operation, Personnel issues - Task performance - Communication (personnel) - (general) - Airport personnel",20081228X25156,The failure of the tug operator and wing walker of this airplane to maintain clearance with the other aircraft during the pushback process in dark night. Also causal was the ramp controller's misinterpretation of the other airplane's gate location and her improper clearance for both airplanes to simultaneously push back from nearly opposing gates.,
CEN09LA106,"An in-flight encounter with turbulence, which resulted in a serious injury to a flight attendant.",Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20081229X40417,"An in-flight encounter with turbulence, which resulted in a serious injury to a flight attendant.",
DCA09FA022,"The first officer's unannounced advancement of the left engine throttle, which led to a sustained application of high thrust that caused the airplane to impact the tug.",Personnel issues - Action/decision - Action - (general) - Copilot,20081229X80551,"The first officer's unannounced advancement of the left engine throttle, which led to a sustained application of high thrust that caused the airplane to impact the tug.",
CEN09LA114,The ground crew's failure to maintain clearance from the light pole while directing the airplane to parking.,"Aircraft - Aircraft handling/service - Towing and taxiing - Taxiing - Incorrect use/operation, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Ground crew, Environmental issues - Physical environment - Object/animal/substance - Pole - Response/compensation",20090102X60836,The ground crew's failure to maintain clearance from the light pole while directing the airplane to parking.,
ENG09IA002,The fan blade fractured due to a fatigue crack that was the result of the combination of the breakdown of the fan blade lubrication system and residual fatigue life usage following the last overhaul of the fan blade.  Contributing to the fracture was the inadequate lubrication schedule established by the engine manufacturer that was not reflective of the operator�s use of the engine.,"Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Fatigue/wear/corrosion, Organizational issues - Development - Design - Task design - Manufacturer, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of maintenance - Manufacturer",20090105X01036,The fan blade fractured due to a fatigue crack that was the result of the combination of the breakdown of the fan blade lubrication system and residual fatigue life usage following the last overhaul of the fan blade.  Contributing to the fracture was the inadequate lubrication schedule established by the engine manufacturer that was not reflective of the operator�s use of the engine.,
DCA09FA025,The tug driver's failure to comply with ramp safety procedures.,Aircraft - Aircraft handling/service - Towing and taxiing - Taxiing - Not specified,20090114X61852,The tug driver's failure to comply with ramp safety procedures.,
WPR09IA123,The flight crew's failure to maintain clearance from the stationary vehicle while taxiing.,"Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Flight crew, Environmental issues - Physical environment - Object/animal/substance - Ground vehicle - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Light condition - Glare - Effect on operation",20090223X03403,The flight crew's failure to maintain clearance from the stationary vehicle while taxiing.,
OPS09IA002,The controller's issuance of an improper climb clearance to the pilot of Berry Aviation flight 510.  Contributing to the incident was the controller's distraction while he searched for a misplaced flight progress strip.,"Personnel issues - Task performance - Communication (personnel) - Issuing instructions - ATC personnel, Personnel issues - Task performance - Communication (personnel) - Accuracy of communication - ATC personnel, Personnel issues - Psychological - Attention/monitoring - Attention - ATC personnel",20090225X83224,The controller's issuance of an improper climb clearance to the pilot of Berry Aviation flight 510.  Contributing to the incident was the controller's distraction while he searched for a misplaced flight progress strip.,
DCA09FA033,"An electrical anomaly in the top portion of the JB-1 junction box resulting in ignition of adjacent combustible materials, including insulation blankets, and a flexible oxygen line.",Aircraft - Aircraft systems - Electrical power system - AC power distribution system - Malfunction,20090303X74824,"An electrical anomaly in the top portion of the JB-1 junction box resulting in ignition of adjacent combustible materials, including insulation blankets, and a flexible oxygen line.",
ERA09LA224,The flight attendant�s failure to properly restrain herself after taking her jumpseat.,"Personnel issues - Action/decision - Action - Delayed action - Cabin crew, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Operator, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Not specified",20090401X82602,The flight attendant�s failure to properly restrain herself after taking her jumpseat.,
CEN09LA256,The injured passenger's failure to comply with the requirement to remain seated with a fastened seatbelt.,"Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Compliance w/ procedure, Personnel issues - Task performance - Communication (personnel) - Following instructions - Passenger, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel",20090421X81417,The injured passenger's failure to comply with the requirement to remain seated with a fastened seatbelt.,
WPR09LA211,The failure of ramp personnel and the flight crew to maintain clearance from ground equipment while taxiing. Contributing to the accident was the improper positioning of the ground equipment.,"Aircraft - Aircraft handling/service - Parking/securing - (general) - Incorrect use/operation, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Flight crew, Environmental issues - Physical environment - Object/animal/substance - Ground equipment - Contributed to outcome",20090422X95319,The failure of ramp personnel and the flight crew to maintain clearance from ground equipment while taxiing. Contributing to the accident was the improper positioning of the ground equipment.,
DCA09FA047,"The first officer�s excessive pitch-up of the airplane while landing with a tailwind, which resulted in a tailstrike following a bounced landing. Contributing to the bounced landing were a high descent rate and excessive thrust resulting from the first officer�s delay in retarding the thrust levers to idle, thereby providing residual thrust and preventing spoiler deployment.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Incorrect use/operation, Personnel issues - Task performance - Use of equip/info - Aircraft control - Copilot, Aircraft - Aircraft power plant - Engine controls - Power lever - Incorrect use/operation, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Copilot, Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Effect on operation",20090505X04553,"The first officer�s excessive pitch-up of the airplane while landing with a tailwind, which resulted in a tailstrike following a bounced landing. Contributing to the bounced landing were a high descent rate and excessive thrust resulting from the first officer�s delay in retarding the thrust levers to idle, thereby providing residual thrust and preventing spoiler deployment.",
DCA09FA048,"the captain�s inappropriate control inputs following a firm landing, resulting in two hard nose-gear impacts before executing a go-around.  

Contributing to the inappropriate control inputs was the captain�s fatigue and physical discomfort; and a possible lack of practical consolidation of skills and experience due to a protracted and fragmented training period.","Personnel issues - Action/decision - Action - Incorrect action sequence - Pilot, Personnel issues - Physical - Alertness/Fatigue - (general) - Pilot, Personnel issues - Physical - Impairment/incapacitation - Illness/injury - Pilot, Organizational issues - Support/oversight/monitoring - Training - Upgrade training - Operator",20090507X00926,"the captain�s inappropriate control inputs following a firm landing, resulting in two hard nose-gear impacts before executing a go-around.  

Contributing to the inappropriate control inputs was the captain�s fatigue and physical discomfort; and a possible lack of practical consolidation of skills and experience due to a protracted and fragmented training period.",
CEN09IA294,"The pilot's inadvertent application of excessive braking after touchdown, which caused the right wheels to lock and several tires to blow and resulted in a subsequent brake fire.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Incorrect use/operation, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Aircraft - Aircraft systems - Landing gear system - Brake - Not specified, Aircraft - Aircraft systems - Landing gear system - Tire casing - Not specified",20090513X31333,"The pilot's inadvertent application of excessive braking after touchdown, which caused the right wheels to lock and several tires to blow and resulted in a subsequent brake fire.",
WPR09LA255,The flight crew's failure to adequately monitor and maintain clearance from a parked aircraft while taxiing. Contributing to the accident was an improperly parked airplane that encroached upon the taxiway area.,"Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Flight crew, Aircraft - Aircraft handling/service - Parking/securing - Parking/storage - Incorrect use/operation",20090522X80352,The flight crew's failure to adequately monitor and maintain clearance from a parked aircraft while taxiing. Contributing to the accident was an improperly parked airplane that encroached upon the taxiway area.,
DCA09CA051,Inadvertent encounter with convective turbulence while in cruise.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20090527X25328,Inadvertent encounter with convective turbulence while in cruise.,
OPS09IA006,"The Chicago TRACON West Arrival controller's omission of a required clearance, resulting in AAL 879 overshooting the final for runway 28 and losing separation with AAL 93.",Personnel issues - Task performance - Communication (personnel) - Issuing instructions - ATC personnel,20090604X25647,"The Chicago TRACON West Arrival controller's omission of a required clearance, resulting in AAL 879 overshooting the final for runway 28 and losing separation with AAL 93.",
ENG09IA007,"There was a malfunction of the electronic engine control (EEC) burner pressure (Pb) sensor that had an abnormally high indication that resulted in an excessive amount of fuel being pumped into the engine that was still at a sub-idle condition.  Because the engine was still accelerating to idle, the limited airflow through the engine engine was insufficient for the amount of fuel and resulted in a tailpipe fire.  The cause of the EEC's Pb sensor fault could not be determined.",Aircraft - Aircraft power plant - Engine fuel and control - Fuel controlling system - Malfunction,20090610X65600,"There was a malfunction of the electronic engine control (EEC) burner pressure (Pb) sensor that had an abnormally high indication that resulted in an excessive amount of fuel being pumped into the engine that was still at a sub-idle condition.  Because the engine was still accelerating to idle, the limited airflow through the engine engine was insufficient for the amount of fuel and resulted in a tailpipe fire.  The cause of the EEC's Pb sensor fault could not be determined.",
ERA09IA338,The failure of the left main landing gear to extend due to high levels of particulate contamination in the hydraulic fluid.,"Aircraft - Aircraft systems - Landing gear system - Main landing gear - Malfunction, Aircraft - Fluids/misc hardware - Fluids - Hydraulic fluid - Fluid condition",20090611X13753,The failure of the left main landing gear to extend due to high levels of particulate contamination in the hydraulic fluid.,
OPS09IA007,"The ground controller did not issue taxi instructions in accordance with FAA Order 7110.65, paragraph 3-7-2.  The local controller did not scan the runways prior to issuing a taxi into position and hold instruction to SWA1080 as required by FAA Order 7110.65 paragraph 3-1-12.  The local controller did not cancel takeoff clearance for BTA2941 as required by FAA Order 7110.65, paragraph 3-9-10.",Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel,20090612X13814,"The ground controller did not issue taxi instructions in accordance with FAA Order 7110.65, paragraph 3-7-2.  The local controller did not scan the runways prior to issuing a taxi into position and hold instruction to SWA1080 as required by FAA Order 7110.65 paragraph 3-1-12.  The local controller did not cancel takeoff clearance for BTA2941 as required by FAA Order 7110.65, paragraph 3-9-10.",
OPS09IA008,"The vehicle operator's failure to follow the designated haul route to the construction site and his failure to adhere to airport driving procedures, which led to missed visual cues and lack of required communication prior to crossing the active runway. Contributing to the incident was the vehicle operator's distraction.","Environmental issues - Task environment - Pressures/demands - Other pressure/demand - Effect on personnel, Personnel issues - Psychological - Attention/monitoring - (general) - Other, Personnel issues - Task performance - Communication (personnel) - Lack of communication - Other, Personnel issues - Task performance - Communication (personnel) - Following instructions - Other",20090619X84742,"The vehicle operator's failure to follow the designated haul route to the construction site and his failure to adhere to airport driving procedures, which led to missed visual cues and lack of required communication prior to crossing the active runway. Contributing to the incident was the vehicle operator's distraction.",
ERA09LA396,An inadvertent in-flight encounter with turbulence during approach. Contributing to the accident was the passengers' failure to follow the instructions of the illuminated seatbelt sign.,"Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Not specified, Personnel issues - Task performance - Communication (personnel) - Following instructions - Passenger",20090712X94532,An inadvertent in-flight encounter with turbulence during approach. Contributing to the accident was the passengers' failure to follow the instructions of the illuminated seatbelt sign.,
DCA09FA065,Fuselage skin failure due to preexisting fatigue at a chemically milled step.,"Aircraft - Aircraft structures - Fuselage - Plates/skins (aux fuselage) - Fatigue/wear/corrosion, Aircraft - Aircraft structures - Fuselage - Plates/skins (aux fuselage) - Failure",20090714X83900,Fuselage skin failure due to preexisting fatigue at a chemically milled step.,
ERA09LA418,An unanticipated inflight encounter with turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel,20090724X12005,An unanticipated inflight encounter with turbulence.,
CEN09LA461,"The passenger's failure to comply with crewmember instructions to remain seated while the airplane was in turbulent weather conditions, resulting in an injury to the passenger.","Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Response/compensation, Personnel issues - Task performance - Communication (personnel) - Following instructions - Passenger",20090724X34459,"The passenger's failure to comply with crewmember instructions to remain seated while the airplane was in turbulent weather conditions, resulting in an injury to the passenger.",
DCA09FA068,an inadvertent encounter with convective turbulence that resulted in serious injuries to a flight attendant.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20090728X71721,an inadvertent encounter with convective turbulence that resulted in serious injuries to a flight attendant.,
ENG09IA009,The failure of the left hand main landing gear was caused by heat induced cracks resulting from abusive grinding/polishing of the chrome plate that was applied during the last overhaul.,"Aircraft - Aircraft systems - Landing gear system - Main landing gear - Damaged/degraded, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Fatigue/wear/corrosion, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect service/maintenance",20090730X12915,The failure of the left hand main landing gear was caused by heat induced cracks resulting from abusive grinding/polishing of the chrome plate that was applied during the last overhaul.,
DCA09CA069,an inadvertent encounter with convective turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20090805X42956,an inadvertent encounter with convective turbulence.,
ERA09LA444,An in-flight encounter with convective clouds resulting in moderate turbulence and serious injury to a flight attendant.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Contributed to outcome,20090806X21108,An in-flight encounter with convective clouds resulting in moderate turbulence and serious injury to a flight attendant.,
OPS09IA009,"The local controller did not visually scan the runways and ensure that the E145 had crossed runway 24L prior to issuing a takeoff clearance to the DH8, did not ensure separation between the two airplanes, and did not cancel takeoff clearance for the DH8 in a timely manner.","Personnel issues - Action/decision - Action - Incorrect action sequence - ATC personnel, Personnel issues - Experience/knowledge - Training - Type/qual of instruct/training - ATC personnel",20090806X31035,"The local controller did not visually scan the runways and ensure that the E145 had crossed runway 24L prior to issuing a takeoff clearance to the DH8, did not ensure separation between the two airplanes, and did not cancel takeoff clearance for the DH8 in a timely manner.",
DCA09IA071,"The flight crew's inadvertent flight through the top of a convective updraft that resulted in an encounter with convective induced turbulence. Contributing to the severity of the incident was the unrestrained status of several passengers, contrary to the lighted seat belt sign.",Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20090810X21314,"The flight crew's inadvertent flight through the top of a convective updraft that resulted in an encounter with convective induced turbulence. Contributing to the severity of the incident was the unrestrained status of several passengers, contrary to the lighted seat belt sign.",
